For PC or kiln tph,KILN SPEED (rpm),KILN AMPS ,P.H.Fan1 Speed (rpm),P.H.Fan2 Speed (rpm),PH-1 I/L temp. (oC),PH-1  I/L DRAUGHT (MMWG),PH-2 I/L temp. (oC),PH-2  I/L DRAUGHT (MMWG),P.C. O/L,Kiln inlet draught (mmwg),Kiln inlet temp. (oC),Ter. Air temp. (oC),P.C. O/L temp. (oC),P.C. O/L        CO (ppm),P.H-2 O/L CO(ppm),P.H. FAN-1 KW,P.H. FAN-2 KW,TERTIARY AIR DUCT DRAFT 1
26,4.94,642,857,856,288,-654.1,284,-662,-93,-84.2,915,992,889,651,356,790,808,-87.69
26,4.94,662,857,857,286,-654.5,286,-655,-91,-83.2,897,1003,900,434,252,771,796,-79.38
26,4.94,592,858,856,281,-665.2,287,-674,-99,-89.7,871,1014,887,408,634,782,812,-95.36
26,4.94,626,857,856,292,-657.3,288,-661,-98,-84.6,913,1013,893,399,894,774,788,-85.65
25.6,4.94,682,857,856,296,-660.1,284,-675,-97,-92.5,944,1001,903,165,434,773,806,-90.8
25.5,4.94,645,857,856,299,-648.8,274,-677,-94,-93,957,990,904,312,174,775,827,-89.69
25.4,4.93,679,858,857,299,-651.3,277,-676,-98,-100.8,951,996,912,477,43,773,815,-93.86
25.7,4.93,665,857,857,296,-660.7,274,-692,-96,-88.7,989,995,908,573,113,774,812,-84.26
25.6,4.94,629,857,856,292,-659.6,276,-676,-105,-87.7,974,988,898,590,0,790,817,-87.19
25.6,4.94,584,857,855,294,-646.5,277,-674,-98,-93.1,928,984,895,747,0,781,813,-88.49
25.9,4.94,609,853,851,298,-631.4,281,-650,-88,-76.9,893,991,896,78,0,754,779,-75.25
24.6,4.94,593,858,856,294,-644.5,281,-663,-83,-86.9,880,990,909,191,0,804,841,-80.45
23.8,4.94,579,857,855,295,-634.2,283,-647,-89,-75.4,867,980,908,755,0,769,798,-78.06
25.8,4.94,591,857,855,294,-666,290,-672,-89,-87.6,880,976,912,365,0,805,806,-83
26,4.94,607,857,856,298,-649.6,282,-666,-91,-81.5,903,974,902,113,0,775,807,-78.82
26,4.94,626,858,857,292,-673.4,284,-674,-106,-86.1,966,976,900,52,0,786,798,-85.22
26,4.94,689,857,856,302,-645.4,276,-674,-88,-87.4,995,978,907,443,278,765,810,-82.66
25.8,4.93,715,857,856,300,-649,277,-668,-87,-80.2,985,993,907,122,304,758,794,-79.94
25.1,4.93,674,857,856,299,-649,277,-666,-89,-81.8,985,997,929,286,312,765,797,-82.9
25.3,4.65,652,857,856,295,-639.5,281,-657,-87,-86,978,987,921,538,573,775,800,-85.7
25.6,4.87,699,857,856,301,-644.3,278,-668,-93,-83.8,953,993,917,668,330,765,801,-83.37
25.3,4.88,677,858,857,297,-658.7,281,-677,-99,-95.8,929,1004,917,512,312,782,819,-92.84
